"RouterFile","RouterPrefix","RouterTags","RouterDependencies","Method","CanonicalPath","LegacyPath","Handler","HandlerFile","EndpointDependencies","AllDependencies","AuthType","Roles","MiddlewareRelevant","RequestModels","ResponseModel","DbTablesTouched"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\features.py","/console","features","","POST","/api/v1/console/ui/features/overrides","/console/ui/features/overrides","features.upsert_feature_override","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\features.py:121","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","FeatureOverrideIn","","feature_overrides"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/knowledge-base","/console/ui/knowledge-base","console.ui_knowledge_base","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1476","require_console_user","require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","",""
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","GET","/api/v1/console/ui/licenses","/console/ui/licenses","console.ui_list_licenses","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:516","get_db, require_console_user","get_db, require_console_user","Bearer JWT (console read)","pcw_admin|pcw_console|owner|admin (+CONSOLE_ALLOWED_ROLES)","legacy_deprecation_headers(on legacy path), CORS","","","licenses"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","POST","/api/v1/console/ui/licenses","/console/ui/licenses","console.ui_create_licenses","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1144","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","LicenseCreateResponse","licenses, plans"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","PATCH","/api/v1/console/ui/licenses/{license_key}","/console/ui/licenses/{license_key}","console.ui_patch_license","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1814","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","","licenses"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","POST","/api/v1/console/ui/licenses/{license_key}/block","/console/ui/licenses/{license_key}/block","console.ui_block_license","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1767","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","","licenses"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","PATCH","/api/v1/console/ui/licenses/{license_key}/revoke","/console/ui/licenses/{license_key}/revoke","console.ui_revoke_license","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1189","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","","licenses"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","POST","/api/v1/console/ui/licenses/{license_key}/revoke","/console/ui/licenses/{license_key}/revoke","console.ui_revoke_license_post","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1748","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","","licenses"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","POST","/api/v1/console/ui/licenses/{license_key}/unblock","/console/ui/licenses/{license_key}/unblock","console.ui_unblock_license","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1787","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","","licenses"
"C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py","/console","console","","POST","/api/v1/console/ui/licenses/generate","/console/ui/licenses/generate","console.ui_generate_licenses","C:\Users\Calvin\Documents\PCWächter\server\api\app\routers\console.py:1702","get_db, require_console_owner","get_db, require_console_owner","Bearer JWT (console write)","pcw_admin|owner|admin","body_size_limit(1MB), legacy_deprecation_headers(on legacy path), CORS","","","licenses, plans"
